From	To	Species	Gene Name
MMP2	ENSG00000087245	Homo sapiens	matrix metallopeptidase 2(MMP2)
MMP1	ENSG00000196611	Homo sapiens	matrix metallopeptidase 1(MMP1)
TTR	ENSG00000118271	Homo sapiens	transthyretin(TTR)
C16orf89	ENSG00000153446	Homo sapiens	chromosome 16 open reading frame 89(C16orf89)
GATA3	ENSG00000107485	Homo sapiens	GATA binding protein 3(GATA3)
TMEM98	ENSG00000006042	Homo sapiens	transmembrane protein 98(TMEM98)
OLIG1	ENSG00000184221	Homo sapiens	oligodendrocyte transcription factor 1(OLIG1)
CST1	ENSG00000170373	Homo sapiens	cystatin SN(CST1)
NAPSA	ENSG00000131400	Homo sapiens	napsin A aspartic peptidase(NAPSA)
TCN1	ENSG00000134827	Homo sapiens	transcobalamin 1(TCN1)
METTL7B	ENSG00000170439	Homo sapiens	methyltransferase like 7B(METTL7B)
CST6	ENSG00000175315	Homo sapiens	cystatin E/M(CST6)
DSP	ENSG00000096696	Homo sapiens	desmoplakin(DSP)
SMIM22	ENSG00000267795	Homo sapiens	small integral membrane protein 22(SMIM22)
CSTA	ENSG00000121552	Homo sapiens	cystatin A(CSTA)
SMIM24	ENSG00000095932	Homo sapiens	small integral membrane protein 24(SMIM24)
FXYD1	ENSG00000266964	Homo sapiens	FXYD domain containing ion transport regulator 1(FXYD1)
FXYD2	ENSG00000137731	Homo sapiens	FXYD domain containing ion transport regulator 2(FXYD2)
FGFR4	ENSG00000160867	Homo sapiens	fibroblast growth factor receptor 4(FGFR4)
CAV1	ENSG00000105974	Homo sapiens	caveolin 1(CAV1)
FGFR3	ENSG00000068078	Homo sapiens	fibroblast growth factor receptor 3(FGFR3)
ITGB4	ENSG00000132470	Homo sapiens	integrin subunit beta 4(ITGB4)
GREM1	ENSG00000166923	Homo sapiens	gremlin 1, DAN family BMP antagonist(GREM1)
FXYD6	ENSG00000137726	Homo sapiens	FXYD domain containing ion transport regulator 6(FXYD6)
REG1A	ENSG00000115386	Homo sapiens	regenerating family member 1 alpha(REG1A)
BCHE	ENSG00000114200	Homo sapiens	butyrylcholinesterase(BCHE)
FOLR1	ENSG00000110195	Homo sapiens	folate receptor 1(FOLR1)
ALB	ENSG00000163631	Homo sapiens	albumin(ALB)
DEFB1	ENSG00000164825	Homo sapiens	defensin beta 1(DEFB1)
PHGR1	ENSG00000233041	Homo sapiens	proline, histidine and glycine rich 1(PHGR1)
GAL3ST1	ENSG00000128242	Homo sapiens	galactose-3-O-sulfotransferase 1(GAL3ST1)
FN1	ENSG00000115414	Homo sapiens	fibronectin 1(FN1)
TESC	ENSG00000088992	Homo sapiens	tescalcin(TESC)
EEF1A2	ENSG00000101210	Homo sapiens	eukaryotic translation elongation factor 1 alpha 2(EEF1A2)
ITGA3	ENSG00000005884	Homo sapiens	integrin subunit alpha 3(ITGA3)
PDZK1IP1	ENSG00000162366	Homo sapiens	PDZK1 interacting protein 1(PDZK1IP1)
SALL1	ENSG00000103449	Homo sapiens	spalt like transcription factor 1(SALL1)
CD79A	ENSG00000105369	Homo sapiens	CD79a molecule(CD79A)
LDOC1	ENSG00000182195	Homo sapiens	leucine zipper down-regulated in cancer 1(LDOC1)
GRB7	ENSG00000141738	Homo sapiens	growth factor receptor bound protein 7(GRB7)
IFI6	ENSG00000126709	Homo sapiens	interferon alpha inducible protein 6(IFI6)
IGFBP6	ENSG00000167779	Homo sapiens	insulin like growth factor binding protein 6(IGFBP6)
BCAN	ENSG00000132692	Homo sapiens	brevican(BCAN)
BCAM	ENSG00000187244	Homo sapiens	basal cell adhesion molecule (Lutheran blood group)(BCAM)
SCGB1A1	ENSG00000149021	Homo sapiens	secretoglobin family 1A member 1(SCGB1A1)
EPCAM	ENSG00000119888	Homo sapiens	epithelial cell adhesion molecule(EPCAM)
TMEM54	ENSG00000121900	Homo sapiens	transmembrane protein 54(TMEM54)
FOS	ENSG00000170345	Homo sapiens	Fos proto-oncogene, AP-1 transcription factor subunit(FOS)
PLEKHB1	ENSG00000021300	Homo sapiens	pleckstrin homology domain containing B1(PLEKHB1)
FAM83A	ENSG00000147689	Homo sapiens	family with sequence similarity 83 member A(FAM83A)
ANG	ENSG00000214274	Homo sapiens	angiogenin(ANG)
SNORD94	ENSG00000208772	Homo sapiens	small nucleolar RNA, C/D box 94(SNORD94)
FAM83H	ENSG00000180921	Homo sapiens	family with sequence similarity 83 member H(FAM83H)
SNORD97	ENSG00000238622	Homo sapiens	small nucleolar RNA, C/D box 97(SNORD97)
FAM83E	ENSG00000105523	Homo sapiens	family with sequence similarity 83 member E(FAM83E)
MT3	ENSG00000087250	Homo sapiens	metallothionein 3(MT3)
PARM1	ENSG00000169116	Homo sapiens	prostate androgen-regulated mucin-like protein 1(PARM1)
LINC01158	ENSG00000233639	Homo sapiens	long intergenic non-protein coding RNA 1158(LINC01158)
UBE2C	ENSG00000175063	Homo sapiens	ubiquitin conjugating enzyme E2 C(UBE2C)
NLRP2	ENSG00000022556	Homo sapiens	NLR family pyrin domain containing 2(NLRP2)
TXLNGY	ENSG00000131002	Homo sapiens	taxilin gamma pseudogene, Y-linked(TXLNGY)
KRTCAP3	ENSG00000157992	Homo sapiens	keratinocyte associated protein 3(KRTCAP3)
EVPL	ENSG00000167880	Homo sapiens	envoplakin(EVPL)
EYA2	ENSG00000064655	Homo sapiens	EYA transcriptional coactivator and phosphatase 2(EYA2)
SLPI	ENSG00000124107	Homo sapiens	secretory leukocyte peptidase inhibitor(SLPI)
AOC1	ENSG00000002726	Homo sapiens	amine oxidase, copper containing 1(AOC1)
FAIM2	ENSG00000135472	Homo sapiens	Fas apoptotic inhibitory molecule 2(FAIM2)
KRT6C	ENSG00000170465	Homo sapiens	keratin 6C(KRT6C)
KRT6A	ENSG00000205420	Homo sapiens	keratin 6A(KRT6A)
KRT6B	ENSG00000185479	Homo sapiens	keratin 6B(KRT6B)
GPRC5C	ENSG00000170412	Homo sapiens	G protein-coupled receptor class C group 5 member C(GPRC5C)
TNC	ENSG00000041982	Homo sapiens	tenascin C(TNC)
TMEM40	ENSG00000088726	Homo sapiens	transmembrane protein 40(TMEM40)
C1R	ENSG00000159403	Homo sapiens	complement C1r(C1R)
C1S	ENSG00000182326	Homo sapiens	complement C1s(C1S)
GPRC5B	ENSG00000167191	Homo sapiens	G protein-coupled receptor class C group 5 member B(GPRC5B)
C6orf132	ENSG00000188112	Homo sapiens	chromosome 6 open reading frame 132(C6orf132)
NPTX2	ENSG00000106236	Homo sapiens	neuronal pentraxin 2(NPTX2)
COMP	ENSG00000105664	Homo sapiens	cartilage oligomeric matrix protein(COMP)
TGM2	ENSG00000198959	Homo sapiens	transglutaminase 2(TGM2)
SCG3	ENSG00000104112	Homo sapiens	secretogranin III(SCG3)
SCG5	ENSG00000166922	Homo sapiens	secretogranin V(SCG5)
IL2RG	ENSG00000147168	Homo sapiens	interleukin 2 receptor subunit gamma(IL2RG)
SLC39A5	ENSG00000139540	Homo sapiens	solute carrier family 39 member 5(SLC39A5)
NEFL	ENSG00000277586	Homo sapiens	neurofilament, light polypeptide(NEFL)
DPT	ENSG00000143196	Homo sapiens	dermatopontin(DPT)
SCG2	ENSG00000171951	Homo sapiens	secretogranin II(SCG2)
HPN	ENSG00000105707	Homo sapiens	hepsin(HPN)
NBL1	ENSG00000158747	Homo sapiens	neuroblastoma 1, DAN family BMP antagonist(NBL1)
HPX	ENSG00000110169	Homo sapiens	hemopexin(HPX)
IRF6	ENSG00000117595	Homo sapiens	interferon regulatory factor 6(IRF6)
SULF1	ENSG00000137573	Homo sapiens	sulfatase 1(SULF1)
IGFBP2	ENSG00000115457	Homo sapiens	insulin like growth factor binding protein 2(IGFBP2)
IGFBP3	ENSG00000146674	Homo sapiens	insulin like growth factor binding protein 3(IGFBP3)
UGT2B7	ENSG00000171234	Homo sapiens	UDP glucuronosyltransferase family 2 member B7(UGT2B7)
IGFBP4	ENSG00000141753	Homo sapiens	insulin like growth factor binding protein 4(IGFBP4)
IGFBP5	ENSG00000115461	Homo sapiens	insulin like growth factor binding protein 5(IGFBP5)
HIST2H2AA3	ENSG00000203812	Homo sapiens	histone cluster 2 H2A family member a3(HIST2H2AA3)
A2M	ENSG00000175899	Homo sapiens	alpha-2-macroglobulin(A2M)
HIST2H2AA4	ENSG00000272196	Homo sapiens	histone cluster 2 H2A family member a4(HIST2H2AA4)
TUBB2B	ENSG00000137285	Homo sapiens	tubulin beta 2B class IIb(TUBB2B)
VTCN1	ENSG00000134258	Homo sapiens	V-set domain containing T cell activation inhibitor 1(VTCN1)
PGC	ENSG00000096088	Homo sapiens	progastricsin(PGC)
L1CAM	ENSG00000198910	Homo sapiens	L1 cell adhesion molecule(L1CAM)
FSTL1	ENSG00000163430	Homo sapiens	follistatin like 1(FSTL1)
SELENBP1	ENSG00000143416	Homo sapiens	selenium binding protein 1(SELENBP1)
CITED1	ENSG00000125931	Homo sapiens	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1(CITED1)
SYP	ENSG00000102003	Homo sapiens	synaptophysin(SYP)
ACTG2	ENSG00000163017	Homo sapiens	actin, gamma 2, smooth muscle, enteric(ACTG2)
MALL	ENSG00000144063	Homo sapiens	mal, T-cell differentiation protein like(MALL)
PPP1R1B	ENSG00000131771	Homo sapiens	protein phosphatase 1 regulatory inhibitor subunit 1B(PPP1R1B)
CTGF	ENSG00000118523	Homo sapiens	connective tissue growth factor(CTGF)
PPP1R1A	ENSG00000135447	Homo sapiens	protein phosphatase 1 regulatory inhibitor subunit 1A(PPP1R1A)
AIF1L	ENSG00000126878	Homo sapiens	allograft inflammatory factor 1 like(AIF1L)
GNG4	ENSG00000168243	Homo sapiens	G protein subunit gamma 4(GNG4)
TPSB2	ENSG00000197253	Homo sapiens	tryptase beta 2 (gene/pseudogene)(TPSB2)
PLS3	ENSG00000102024	Homo sapiens	plastin 3(PLS3)
CLCA2	ENSG00000137975	Homo sapiens	chloride channel accessory 2(CLCA2)
CRTAC1	ENSG00000095713	Homo sapiens	cartilage acidic protein 1(CRTAC1)
CRYAB	ENSG00000109846	Homo sapiens	crystallin alpha B(CRYAB)
CDHR5	ENSG00000099834	Homo sapiens	cadherin related family member 5(CDHR5)
C1orf61	ENSG00000125462	Homo sapiens	chromosome 1 open reading frame 61(C1orf61)
MAGED4	ENSG00000154545	Homo sapiens	MAGE family member D4(MAGED4)
HNF4A	ENSG00000101076	Homo sapiens	hepatocyte nuclear factor 4 alpha(HNF4A)
ST14	ENSG00000149418	Homo sapiens	suppression of tumorigenicity 14(ST14)
MST1R	ENSG00000164078	Homo sapiens	macrophage stimulating 1 receptor(MST1R)
WFDC2	ENSG00000101443	Homo sapiens	WAP four-disulfide core domain 2(WFDC2)
PRODH	ENSG00000100033	Homo sapiens	proline dehydrogenase 1(PRODH)
ERBB3	ENSG00000065361	Homo sapiens	erb-b2 receptor tyrosine kinase 3(ERBB3)
ERBB2	ENSG00000141736	Homo sapiens	erb-b2 receptor tyrosine kinase 2(ERBB2)
XIST	ENSG00000229807	Homo sapiens	X inactive specific transcript (non-protein coding)(XIST)
ACP5	ENSG00000102575	Homo sapiens	acid phosphatase 5, tartrate resistant(ACP5)
RUNDC3A	ENSG00000108309	Homo sapiens	RUN domain containing 3A(RUNDC3A)
DAPL1	ENSG00000163331	Homo sapiens	death associated protein like 1(DAPL1)
PIP	ENSG00000159763	Homo sapiens	prolactin induced protein(PIP)
HLA-DRB5	ENSG00000198502	Homo sapiens	major histocompatibility complex, class II, DR beta 5(HLA-DRB5)
TUBB4A	ENSG00000104833	Homo sapiens	tubulin beta 4A class IVa(TUBB4A)
CDC42EP5	ENSG00000167617	Homo sapiens	CDC42 effector protein 5(CDC42EP5)
NDUFA4L2	ENSG00000185633	Homo sapiens	NDUFA4, mitochondrial complex associated like 2(NDUFA4L2)
MAOA	ENSG00000189221	Homo sapiens	monoamine oxidase A(MAOA)
FAM83H-AS1	ENSG00000203499	Homo sapiens	FAM83H antisense RNA 1 (head to head)(FAM83H-AS1)
MAOB	ENSG00000069535	Homo sapiens	monoamine oxidase B(MAOB)
IL1RN	ENSG00000136689	Homo sapiens	interleukin 1 receptor antagonist(IL1RN)
CCDC80	ENSG00000091986	Homo sapiens	coiled-coil domain containing 80(CCDC80)
HGD	ENSG00000113924	Homo sapiens	homogentisate 1,2-dioxygenase(HGD)
TINAGL1	ENSG00000142910	Homo sapiens	tubulointerstitial nephritis antigen like 1(TINAGL1)
ACPP	ENSG00000014257	Homo sapiens	acid phosphatase, prostate(ACPP)
C19orf33	ENSG00000167644	Homo sapiens	chromosome 19 open reading frame 33(C19orf33)
APOL1	ENSG00000100342	Homo sapiens	apolipoprotein L1(APOL1)
HMGCS2	ENSG00000134240	Homo sapiens	3-hydroxy-3-methylglutaryl-CoA synthase 2(HMGCS2)
MAP2	ENSG00000078018	Homo sapiens	microtubule associated protein 2(MAP2)
PI3	ENSG00000124102	Homo sapiens	peptidase inhibitor 3(PI3)
SYTL1	ENSG00000142765	Homo sapiens	synaptotagmin like 1(SYTL1)
HNF1B	ENSG00000275410	Homo sapiens	HNF1 homeobox B(HNF1B)
FAM3D	ENSG00000198643	Homo sapiens	family with sequence similarity 3 member D(FAM3D)
FAM3B	ENSG00000183844	Homo sapiens	family with sequence similarity 3 member B(FAM3B)
GPR87	ENSG00000138271	Homo sapiens	G protein-coupled receptor 87(GPR87)
RTN1	ENSG00000139970	Homo sapiens	reticulon 1(RTN1)
MAPT	ENSG00000186868	Homo sapiens	microtubule associated protein tau(MAPT)
MYB	ENSG00000118513	Homo sapiens	MYB proto-oncogene, transcription factor(MYB)
FBXL16	ENSG00000127585	Homo sapiens	F-box and leucine rich repeat protein 16(FBXL16)
DPP4	ENSG00000197635	Homo sapiens	dipeptidyl peptidase 4(DPP4)
ARHGEF4	ENSG00000136002	Homo sapiens	Rho guanine nucleotide exchange factor 4(ARHGEF4)
ACTA2	ENSG00000107796	Homo sapiens	actin, alpha 2, smooth muscle, aorta(ACTA2)
FOSB	ENSG00000125740	Homo sapiens	FosB proto-oncogene, AP-1 transcription factor subunit(FOSB)
CCND1	ENSG00000110092	Homo sapiens	cyclin D1(CCND1)
SNORD3A	ENSG00000263934	Homo sapiens	small nucleolar RNA, C/D box 3A(SNORD3A)
C1QL1	ENSG00000131094	Homo sapiens	complement C1q like 1(C1QL1)
USH1C	ENSG00000006611	Homo sapiens	USH1 protein network component harmonin(USH1C)
RASD1	ENSG00000108551	Homo sapiens	ras related dexamethasone induced 1(RASD1)
HSD17B2	ENSG00000086696	Homo sapiens	hydroxysteroid 17-beta dehydrogenase 2(HSD17B2)
FHL1	ENSG00000022267	Homo sapiens	four and a half LIM domains 1(FHL1)
FHL2	ENSG00000115641	Homo sapiens	four and a half LIM domains 2(FHL2)
PCSK2	ENSG00000125851	Homo sapiens	proprotein convertase subtilisin/kexin type 2(PCSK2)
TCEA3	ENSG00000204219	Homo sapiens	transcription elongation factor A3(TCEA3)
CCL20	ENSG00000115009	Homo sapiens	C-C motif chemokine ligand 20(CCL20)
CCL21	ENSG00000137077	Homo sapiens	C-C motif chemokine ligand 21(CCL21)
COL6A3	ENSG00000163359	Homo sapiens	collagen type VI alpha 3 chain(COL6A3)
MT1E	ENSG00000169715	Homo sapiens	metallothionein 1E(MT1E)
COL6A2	ENSG00000142173	Homo sapiens	collagen type VI alpha 2 chain(COL6A2)
COL6A1	ENSG00000142156	Homo sapiens	collagen type VI alpha 1 chain(COL6A1)
MT1H	ENSG00000205358	Homo sapiens	metallothionein 1H(MT1H)
MT1G	ENSG00000125144	Homo sapiens	metallothionein 1G(MT1G)
GALNT14	ENSG00000158089	Homo sapiens	polypeptide N-acetylgalactosaminyltransferase 14(GALNT14)
SNORD10	ENSG00000238917	Homo sapiens	small nucleolar RNA, C/D box 10(SNORD10)
TMPRSS2	ENSG00000184012	Homo sapiens	transmembrane protease, serine 2(TMPRSS2)
CES1	ENSG00000198848	Homo sapiens	carboxylesterase 1(CES1)
CAPN8	ENSG00000203697	Homo sapiens	calpain 8(CAPN8)
FADS2	ENSG00000134824	Homo sapiens	fatty acid desaturase 2(FADS2)
CCL19	ENSG00000172724	Homo sapiens	C-C motif chemokine ligand 19(CCL19)
MXRA8	ENSG00000162576	Homo sapiens	matrix remodeling associated 8(MXRA8)
TMPRSS3	ENSG00000160183	Homo sapiens	transmembrane protease, serine 3(TMPRSS3)
CCL18	ENSG00000275385	Homo sapiens	C-C motif chemokine ligand 18(CCL18)
MT1X	ENSG00000187193	Homo sapiens	metallothionein 1X(MT1X)
MXRA5	ENSG00000101825	Homo sapiens	matrix remodeling associated 5(MXRA5)
TMPRSS4	ENSG00000137648	Homo sapiens	transmembrane protease, serine 4(TMPRSS4)
ORM1	ENSG00000229314	Homo sapiens	orosomucoid 1(ORM1)
CCL14	ENSG00000276409	Homo sapiens	C-C motif chemokine ligand 14(CCL14)
MT2A	ENSG00000125148	Homo sapiens	metallothionein 2A(MT2A)
SFTPA2	ENSG00000185303	Homo sapiens	surfactant protein A2(SFTPA2)
PERP	ENSG00000112378	Homo sapiens	PERP, TP53 apoptosis effector(PERP)
ORM2	ENSG00000228278	Homo sapiens	orosomucoid 2(ORM2)
ASPN	ENSG00000106819	Homo sapiens	asporin(ASPN)
TSPAN1	ENSG00000117472	Homo sapiens	tetraspanin 1(TSPAN1)
SLC44A4	ENSG00000204385	Homo sapiens	solute carrier family 44 member 4(SLC44A4)
ADH1C	ENSG00000248144	Homo sapiens	alcohol dehydrogenase 1C (class I), gamma polypeptide(ADH1C)
TSPAN7	ENSG00000156298	Homo sapiens	tetraspanin 7(TSPAN7)
ADH1B	ENSG00000196616	Homo sapiens	alcohol dehydrogenase 1B (class I), beta polypeptide(ADH1B)
TSPAN8	ENSG00000127324	Homo sapiens	tetraspanin 8(TSPAN8)
ZIC1	ENSG00000152977	Homo sapiens	Zic family member 1(ZIC1)
SLC7A5	ENSG00000103257	Homo sapiens	solute carrier family 7 member 5(SLC7A5)
NRCAM	ENSG00000091129	Homo sapiens	neuronal cell adhesion molecule(NRCAM)
APOA1	ENSG00000118137	Homo sapiens	apolipoprotein A1(APOA1)
SLC2A1	ENSG00000117394	Homo sapiens	solute carrier family 2 member 1(SLC2A1)
AKR7A3	ENSG00000162482	Homo sapiens	aldo-keto reductase family 7 member A3(AKR7A3)
SPON2	ENSG00000159674	Homo sapiens	spondin 2(SPON2)
C1orf116	ENSG00000182795	Homo sapiens	chromosome 1 open reading frame 116(C1orf116)
SPON1	ENSG00000262655	Homo sapiens	spondin 1(SPON1)
EGFR	ENSG00000146648	Homo sapiens	epidermal growth factor receptor(EGFR)
LAD1	ENSG00000159166	Homo sapiens	ladinin 1(LAD1)
GOLT1A	ENSG00000174567	Homo sapiens	golgi transport 1A(GOLT1A)
FBP1	ENSG00000165140	Homo sapiens	fructose-bisphosphatase 1(FBP1)
KRTDAP	ENSG00000188508	Homo sapiens	keratinocyte differentiation associated protein(KRTDAP)
CDO1	ENSG00000129596	Homo sapiens	cysteine dioxygenase type 1(CDO1)
GRHL2	ENSG00000083307	Homo sapiens	grainyhead like transcription factor 2(GRHL2)
SLC34A2	ENSG00000157765	Homo sapiens	solute carrier family 34 member 2(SLC34A2)
NCAM1	ENSG00000149294	Homo sapiens	neural cell adhesion molecule 1(NCAM1)
PODXL2	ENSG00000114631	Homo sapiens	podocalyxin like 2(PODXL2)
HSPB6	ENSG00000004776	Homo sapiens	heat shock protein family B (small) member 6(HSPB6)
AKR1B10	ENSG00000198074	Homo sapiens	aldo-keto reductase family 1 member B10(AKR1B10)
HSPB8	ENSG00000152137	Homo sapiens	heat shock protein family B (small) member 8(HSPB8)
VSNL1	ENSG00000163032	Homo sapiens	visinin like 1(VSNL1)
SPDEF	ENSG00000124664	Homo sapiens	SAM pointed domain containing ETS transcription factor(SPDEF)
COL1A2	ENSG00000164692	Homo sapiens	collagen type I alpha 2 chain(COL1A2)
MFAP2	ENSG00000117122	Homo sapiens	microfibrillar associated protein 2(MFAP2)
PSCA	ENSG00000167653	Homo sapiens	prostate stem cell antigen(PSCA)
COL1A1	ENSG00000108821	Homo sapiens	collagen type I alpha 1 chain(COL1A1)
MFAP4	ENSG00000166482	Homo sapiens	microfibrillar associated protein 4(MFAP4)
MFAP5	ENSG00000197614	Homo sapiens	microfibrillar associated protein 5(MFAP5)
CRACR2B	ENSG00000177685	Homo sapiens	calcium release activated channel regulator 2B(CRACR2B)
C1orf106	ENSG00000163362	Homo sapiens	chromosome 1 open reading frame 106(C1orf106)
BPIFB1	ENSG00000125999	Homo sapiens	BPI fold containing family B member 1(BPIFB1)
ASS1	ENSG00000130707	Homo sapiens	argininosuccinate synthase 1(ASS1)
TNFRSF12A	ENSG00000006327	Homo sapiens	TNF receptor superfamily member 12A(TNFRSF12A)
APOC1	ENSG00000130208	Homo sapiens	apolipoprotein C1(APOC1)
APOC2	ENSG00000224916	Homo sapiens	apolipoprotein C2(APOC2)
APOC2	ENSG00000234906	Homo sapiens	apolipoprotein C2(APOC2)
NKAIN4	ENSG00000101198	Homo sapiens	Na+/K+ transporting ATPase interacting 4(NKAIN4)
CNTFR	ENSG00000122756	Homo sapiens	ciliary neurotrophic factor receptor(CNTFR)
TIMP3	ENSG00000100234	Homo sapiens	TIMP metallopeptidase inhibitor 3(TIMP3)
FGG	ENSG00000171557	Homo sapiens	fibrinogen gamma chain(FGG)
FGB	ENSG00000171564	Homo sapiens	fibrinogen beta chain(FGB)
DDX3Y	ENSG00000067048	Homo sapiens	DEAD-box helicase 3, Y-linked(DDX3Y)
SFTA2	ENSG00000196260	Homo sapiens	surfactant associated 2(SFTA2)
SDR16C5	ENSG00000170786	Homo sapiens	short chain dehydrogenase/reductase family 16C, member 5(SDR16C5)
ANGPTL4	ENSG00000167772	Homo sapiens	angiopoietin like 4(ANGPTL4)
VAV3	ENSG00000134215	Homo sapiens	vav guanine nucleotide exchange factor 3(VAV3)
EFEMP1	ENSG00000115380	Homo sapiens	EGF containing fibulin like extracellular matrix protein 1(EFEMP1)
CRB3	ENSG00000130545	Homo sapiens	crumbs 3, cell polarity complex component(CRB3)
LCN2	ENSG00000148346	Homo sapiens	lipocalin 2(LCN2)
TNFSF10	ENSG00000121858	Homo sapiens	tumor necrosis factor superfamily member 10(TNFSF10)
MYH11	ENSG00000133392	Homo sapiens	myosin heavy chain 11(MYH11)
MYH14	ENSG00000105357	Homo sapiens	myosin heavy chain 14(MYH14)
PCSK1N	ENSG00000102109	Homo sapiens	proprotein convertase subtilisin/kexin type 1 inhibitor(PCSK1N)
TPSAB1	ENSG00000172236	Homo sapiens	tryptase alpha/beta 1(TPSAB1)
DUOX2	ENSG00000140279	Homo sapiens	dual oxidase 2(DUOX2)
ANO1	ENSG00000131620	Homo sapiens	anoctamin 1(ANO1)
UCHL1	ENSG00000154277	Homo sapiens	ubiquitin C-terminal hydrolase L1(UCHL1)
RHOV	ENSG00000104140	Homo sapiens	ras homolog family member V(RHOV)
VGF	ENSG00000128564	Homo sapiens	VGF nerve growth factor inducible(VGF)
AKR1C3	ENSG00000196139	Homo sapiens	aldo-keto reductase family 1 member C3(AKR1C3)
AKR1C2	ENSG00000151632	Homo sapiens	aldo-keto reductase family 1 member C2(AKR1C2)
DES	ENSG00000175084	Homo sapiens	desmin(DES)
GPC3	ENSG00000147257	Homo sapiens	glypican 3(GPC3)
PCP4	ENSG00000183036	Homo sapiens	Purkinje cell protein 4(PCP4)
RHOD	ENSG00000173156	Homo sapiens	ras homolog family member D(RHOD)
LOXL1	ENSG00000129038	Homo sapiens	lysyl oxidase like 1(LOXL1)
AKR1C1	ENSG00000187134	Homo sapiens	aldo-keto reductase family 1 member C1(AKR1C1)
RNVU1-7	ENSG00000206585	Homo sapiens	RNA, variant U1 small nuclear 7(RNVU1-7)
DDC	ENSG00000132437	Homo sapiens	dopa decarboxylase(DDC)
ESR1	ENSG00000091831	Homo sapiens	estrogen receptor 1(ESR1)
ALDH3B2	ENSG00000132746	Homo sapiens	aldehyde dehydrogenase 3 family member B2(ALDH3B2)
CHGA	ENSG00000100604	Homo sapiens	chromogranin A(CHGA)
GAP43	ENSG00000172020	Homo sapiens	growth associated protein 43(GAP43)
GALNT3	ENSG00000115339	Homo sapiens	polypeptide N-acetylgalactosaminyltransferase 3(GALNT3)
IRX3	ENSG00000177508	Homo sapiens	iroquois homeobox 3(IRX3)
AP1M2	ENSG00000129354	Homo sapiens	adaptor related protein complex 1 mu 2 subunit(AP1M2)
C1orf186	ENSG00000263961	Homo sapiens	chromosome 1 open reading frame 186(C1orf186)
CDH1	ENSG00000039068	Homo sapiens	cadherin 1(CDH1)
CDH2	ENSG00000170558	Homo sapiens	cadherin 2(CDH2)
DCN	ENSG00000011465	Homo sapiens	decorin(DCN)
CDH3	ENSG00000062038	Homo sapiens	cadherin 3(CDH3)
ESPN	ENSG00000187017	Homo sapiens	espin(ESPN)
ALDH3A1	ENSG00000108602	Homo sapiens	aldehyde dehydrogenase 3 family member A1(ALDH3A1)
ALDH1A1	ENSG00000165092	Homo sapiens	aldehyde dehydrogenase 1 family member A1(ALDH1A1)
VCAM1	ENSG00000162692	Homo sapiens	vascular cell adhesion molecule 1(VCAM1)
ADIRF	ENSG00000148671	Homo sapiens	adipogenesis regulatory factor(ADIRF)
ANXA8	ENSG00000265190	Homo sapiens	annexin A8(ANXA8)
ALDH1A3	ENSG00000184254	Homo sapiens	aldehyde dehydrogenase 1 family member A3(ALDH1A3)
DNER	ENSG00000187957	Homo sapiens	delta/notch like EGF repeat containing(DNER)
B4GALNT4	ENSG00000182272	Homo sapiens	beta-1,4-N-acetyl-galactosaminyltransferase 4(B4GALNT4)
COL8A1	ENSG00000144810	Homo sapiens	collagen type VIII alpha 1 chain(COL8A1)
HBB	ENSG00000244734	Homo sapiens	hemoglobin subunit beta(HBB)
RNASE1	ENSG00000129538	Homo sapiens	ribonuclease A family member 1, pancreatic(RNASE1)
NES	ENSG00000132688	Homo sapiens	nestin(NES)
COL4A2	ENSG00000134871	Homo sapiens	collagen type IV alpha 2 chain(COL4A2)
PLP1	ENSG00000123560	Homo sapiens	proteolipid protein 1(PLP1)
TMEM45B	ENSG00000151715	Homo sapiens	transmembrane protein 45B(TMEM45B)
COL4A1	ENSG00000187498	Homo sapiens	collagen type IV alpha 1 chain(COL4A1)
MZB1	ENSG00000170476	Homo sapiens	marginal zone B and B1 cell specific protein(MZB1)
ANXA1	ENSG00000135046	Homo sapiens	annexin A1(ANXA1)
DPYSL3	ENSG00000113657	Homo sapiens	dihydropyrimidinase like 3(DPYSL3)
IDO1	ENSG00000131203	Homo sapiens	indoleamine 2,3-dioxygenase 1(IDO1)
ANXA3	ENSG00000138772	Homo sapiens	annexin A3(ANXA3)
FEZ1	ENSG00000149557	Homo sapiens	fasciculation and elongation protein zeta 1(FEZ1)
DMBT1	ENSG00000187908	Homo sapiens	deleted in malignant brain tumors 1(DMBT1)
S100A4	ENSG00000196154	Homo sapiens	S100 calcium binding protein A4(S100A4)
LYPD1	ENSG00000150551	Homo sapiens	LY6/PLAUR domain containing 1(LYPD1)
SNCG	ENSG00000173267	Homo sapiens	synuclein gamma(SNCG)
ATP1B1	ENSG00000143153	Homo sapiens	ATPase Na+/K+ transporting subunit beta 1(ATP1B1)
S100A6	ENSG00000197956	Homo sapiens	S100 calcium binding protein A6(S100A6)
RARRES2	ENSG00000106538	Homo sapiens	retinoic acid receptor responder 2(RARRES2)
LYPD3	ENSG00000124466	Homo sapiens	LY6/PLAUR domain containing 3(LYPD3)
RARRES1	ENSG00000118849	Homo sapiens	retinoic acid receptor responder 1(RARRES1)
S100A8	ENSG00000143546	Homo sapiens	S100 calcium binding protein A8(S100A8)
